Epoch 00103 | Loss 1.0253 | Accuracy 0.7840 
Epoch 00104 | Loss 0.8769 | Accuracy 0.7800 
Epoch 00105 | Loss 0.9159 | Accuracy 0.7800 
Epoch 00106 | Loss 0.8582 | Accuracy 0.7820 
Epoch 00107 | Loss 0.9474 | Accuracy 0.7840 
Epoch 00108 | Loss 0.9327 | Accuracy 0.7900 
Epoch 00109 | Loss 0.8624 | Accuracy 0.7940 
Epoch 00110 | Loss 0.8364 | Accuracy 0.8040 
Epoch 00111 | Loss 0.8142 | Accuracy 0.8040 
Epoch 00112 | Loss 0.8011 | Accuracy 0.8020 
Epoch 00113 | Loss 0.8488 | Accuracy 0.8060 
Epoch 00114 | Loss 0.8590 | Accuracy 0.8060 
Epoch 00115 | Loss 0.8136 | Accuracy 0.8100 
Epoch 00116 | Loss 0.8190 | Accuracy 0.8120 
Epoch 00117 | Loss 0.7985 | Accuracy 0.8100 
Epoch 00118 | Loss 0.8774 | Accuracy 0.8100 
Epoch 00119 | Loss 0.8309 | Accuracy 0.8100 
Epoch 00120 | Loss 0.9159 | Accuracy 0.8120 
Epoch 00121 | Loss 0.7951 | Accuracy 0.8080 
Epoch 00122 | Loss 0.7887 | Accuracy 0.8080 
Epoch 00123 | Loss 0.7707 | Accuracy 0.8040 
Epoch 00124 | Loss 0.7409 | Accuracy 0.8080 
Epoch 00125 | Loss 0.9323 | Accuracy 0.7980 
Epoch 00126 | Loss 0.8437 | Accuracy 0.7980 
Epoch 00127 | Loss 0.8173 | Accuracy 0.7980 
Epoch 00128 | Loss 0.7667 | Accuracy 0.7980 
Epoch 00129 | Loss 0.8495 | Accuracy 0.7980 
Epoch 00130 | Loss 0.9002 | Accuracy 0.7920 
Epoch 00131 | Loss 0.7301 | Accuracy 0.7920 
Epoch 00132 | Loss 0.8656 | Accuracy 0.7900 
Epoch 00133 | Loss 0.7639 | Accuracy 0.7900 
Epoch 00134 | Loss 0.8735 | Accuracy 0.7880 
Epoch 00135 | Loss 0.8264 | Accuracy 0.7900 
Epoch 00136 | Loss 0.7152 | Accuracy 0.7940 
Epoch 00137 | Loss 0.8770 | Accuracy 0.7980 
Epoch 00138 | Loss 0.7863 | Accuracy 0.7980 
Epoch 00139 | Loss 0.7547 | Accuracy 0.7980 
Epoch 00140 | Loss 0.8523 | Accuracy 0.7980 
Epoch 00141 | Loss 0.7753 | Accuracy 0.7960 
Epoch 00142 | Loss 0.7297 | Accuracy 0.7940 
Epoch 00143 | Loss 0.7423 | Accuracy 0.7940 
Epoch 00144 | Loss 0.7790 | Accuracy 0.7940 
Epoch 00145 | Loss 0.8234 | Accuracy 0.7940 
Epoch 00146 | Loss 0.7664 | Accuracy 0.7960 
Epoch 00147 | Loss 0.7815 | Accuracy 0.7980 
Epoch 00148 | Loss 0.7729 | Accuracy 0.7980 
Epoch 00149 | Loss 0.7329 | Accuracy 0.7960 
Epoch 00150 | Loss 0.7096 | Accuracy 0.7960 
Epoch 00151 | Loss 0.7615 | Accuracy 0.7960 
Epoch 00152 | Loss 0.7736 | Accuracy 0.7960 
Epoch 00153 | Loss 0.7509 | Accuracy 0.7940 
Epoch 00154 | Loss 0.6883 | Accuracy 0.7980 
Epoch 00155 | Loss 0.8005 | Accuracy 0.8040 
Epoch 00156 | Loss 0.7295 | Accuracy 0.8080 
Epoch 00157 | Loss 0.8124 | Accuracy 0.8040 
Epoch 00158 | Loss 0.7691 | Accuracy 0.8060 
Epoch 00159 | Loss 0.7366 | Accuracy 0.8000 
Epoch 00160 | Loss 0.7305 | Accuracy 0.8020 
Epoch 00161 | Loss 0.7693 | Accuracy 0.8000 
Epoch 00162 | Loss 0.8179 | Accuracy 0.8000 
Epoch 00163 | Loss 0.7580 | Accuracy 0.8000 
Epoch 00164 | Loss 0.6259 | Accuracy 0.8020 
Epoch 00165 | Loss 0.7750 | Accuracy 0.8040 
Epoch 00166 | Loss 0.6483 | Accuracy 0.8120 
Epoch 00167 | Loss 0.7805 | Accuracy 0.8040 
Epoch 00168 | Loss 0.7632 | Accuracy 0.7980 
Epoch 00169 | Loss 0.7004 | Accuracy 0.7960 
Epoch 00170 | Loss 0.6328 | Accuracy 0.8000 
Epoch 00171 | Loss 0.6966 | Accuracy 0.7960 
Epoch 00172 | Loss 0.7756 | Accuracy 0.8020 
Epoch 00173 | Loss 0.6825 | Accuracy 0.8040 
Epoch 00174 | Loss 0.7266 | Accuracy 0.8040 
Epoch 00175 | Loss 0.6968 | Accuracy 0.8020 
Epoch 00176 | Loss 0.6447 | Accuracy 0.8080 
Epoch 00177 | Loss 0.7247 | Accuracy 0.8020 
Epoch 00178 | Loss 0.7304 | Accuracy 0.8020 
Epoch 00179 | Loss 0.7837 | Accuracy 0.8020 
Epoch 00180 | Loss 0.7198 | Accuracy 0.8020 
Epoch 00181 | Loss 0.7726 | Accuracy 0.8040 
Epoch 00182 | Loss 0.6970 | Accuracy 0.8040 
Epoch 00183 | Loss 0.7927 | Accuracy 0.8020 
Epoch 00184 | Loss 0.7640 | Accuracy 0.8040 
Epoch 00185 | Loss 0.7234 | Accuracy 0.8000 
Epoch 00186 | Loss 0.7539 | Accuracy 0.8000 
Epoch 00187 | Loss 0.7222 | Accuracy 0.8000 
Epoch 00188 | Loss 0.6628 | Accuracy 0.7980 
Epoch 00189 | Loss 0.7713 | Accuracy 0.7980 
Epoch 00190 | Loss 0.7248 | Accuracy 0.7960 
Epoch 00191 | Loss 0.7661 | Accuracy 0.7980 
Epoch 00192 | Loss 0.7323 | Accuracy 0.7960 
Epoch 00193 | Loss 0.6179 | Accuracy 0.7960 
Epoch 00194 | Loss 0.6951 | Accuracy 0.7940 
Epoch 00195 | Loss 0.7470 | Accuracy 0.7920 
Epoch 00196 | Loss 0.7348 | Accuracy 0.7840 
Epoch 00197 | Loss 0.6747 | Accuracy 0.7840 
Epoch 00198 | Loss 0.7155 | Accuracy 0.7900 
Epoch 00199 | Loss 0.6845 | Accuracy 0.7920 
